"class","layer_name_en","layer_name_ua","layer_description","geometry_type","attribute_name_en","attribute_name_ua","attribute_description","attribute_type","attribute_len","attribute_default_value","attribute_required","attribute_unique","domain","attribute_is_id"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","uuid","uuid","Унікальний ідентифікатор об'єкта культурної спадщини в межах Бази геоданих, який генерується автоматично","text",38," ","True","True",,"True"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","class","класифікаційний код","Класифікаційний код згідно з Національним класифікатором об’єктів містобудування, благоустрою, будівель і споруд, який затверджується Мінінфраструктури ","text",10,,"False","False",,"False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","katotth","КАТОТТГ","КАТОТТГ","text",20," ","True","False",,"False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","koatuu","КОАТУУ","КОАТУУ","text",10," ","True","False",,"False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","note","примітка","Примітка у довільній формі","text",255," ","False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","uuid","UUID запису","Унікальний ідентифікатор запису","text",38," ","True","True",,"True"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","doc_title","назва","Повна назва науково-проектної (науково-дослідної) документації","text",500,,"True","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","doc_type","вид документації","Вид науково-проектної (науково-дослідної) документації","integer",,,"True","False","pr_doc_type","False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","company_name","назва розробника","Назва організації-розробника науково-проектної (науково-дослідної) документації","text",255,,"True","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","edrpou","ЄДРПОУ розробника","Код ЄДРПОУ організації-розробника науково-проектної (науково-дослідної) документації","text",10,,"True","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","region","регіон","Назва області, Автономна Республіка Крим або назва міста, що має спеціальний статус, де зареєстровано організацію-розробника науково-проектної (науково-дослідної) документації","text",2,,"False","False","region_list","False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","district","район","Назва району області/Автономної Республіки Крим, де зареєстровано організацію-розробника науково-проектної (науково-дослідної) документації","text",100,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","hromada","громада","Назва громади, де зареєстровано організацію-розробника науково-проектної (науково-дослідної) документації","text",255,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","settlem_type","тип населеного пункту","Тип населеного пункту, де зареєстровано організацію-розробника науково-проектної (науково-дослідної) документації","integer",,,"False","False","settlem_type","False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","settlem","населений пункт","Назва населеного пункту, де зареєстровано організацію-розробника науково-проектної (науково-дослідної) документації","text",255,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","st_type","тип вулиці","Тип вулиці, де зареєстровано організацію-розробника науково-проектної (науково-дослідної) документації","integer",,,"False","False","st_type","False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","st_name","назва вулиці","Назва вулиці, де зареєстровано організацію-розробника науково-проектної (науково-дослідної) документації","text",255,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","build","Номер будинку","Номер будинку, де зареєстровано організацію-розробника науково-проектної (науково-дослідної) документації","text",10,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","phone","телефон розробника","Телефон організації-розробника науково-проектної (науково-дослідної) документації","text",20,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","email","email розробника","Адреса електронної пошти організації-розробника науково-проектної (науково-дослідної) документації","text",20,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","approval_authority","назва органу, що затвердив","Назва органу, що прийняв рішення щодо затвердження науково-проектної (науково-дослідної) документації","text",255,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","approval_date","дата затвердження","Дата рішення щодо затвердження науково-проектної (науково-дослідної) документації","Date",,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","approval_number","номер рішення про затвердження","Номер рішення щодо затвердження науково-проектної (науково-дослідної) документації","text",10,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","region_koatuu","КОАТУУ регіону","КОАТУУ регіону,  до якого відноситься об'єкт культурної спадщини, охоронна зона або історико-культурний заповідник, історико-культурна заповідна територія, на який розроблено науково-проектну (науково-дослідну) документацію","text",20,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","region_katotth","КАТОТТГ регіону","КАТОТТГ регіону,  до якого відноситься об'єкт культурної спадщини, охоронна зона або історико-культурний заповідник, історико-культурна заповідна територія, на який розроблено науково-проектну (науково-дослідну) документацію","text",10,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","
hromada_koatuu","КОАТУУ територіальної громади","КОАТУУ територіальної громади, до якої відноситься об'єкт культурної спадщини, охоронна зона або історико-культурний заповідник, історико-культурна заповідна територія, на яку розроблено науково-проектну (науково-дослідну) документацію","text",20,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","hromada_katotth","КАТОТТГ територіальної громади","КАТОТТГ територіальної громади, до якої відноситься об'єкт культурної спадщини, охоронна зона або історико-культурний заповідник, історико-культурна заповідна територія, на яку розроблено науково-проектну (науково-дослідну) документацію","text",10,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","settl_koatuu","КОАТУУ населеного пункту","КОАТУУ населеного пункту,  до якого відноситься об'єкт культурної спадщини, охоронна зона або історико-культурний заповідник, історико-культурна заповідна територія, на який розроблено науково-проектну (науково-дослідну) документацію","text",20,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","settl_katotth","КАТОТТГ населеного пункту","КАТОТТГ населеного пункту,  до якого відноситься об'єкт культурної спадщини, охоронна зона або історико-культурний заповідник, історико-культурна заповідна територія, на який розроблено науково-проектну (науково-дослідну) документацію","text",10,,"False","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","law_establ","Встановлено згідно з Законом України „Про охорону культурної спадщини”","Ознака встановлення обмеження, визначеного в Базі геоданих згідно з Законом України „Про охорону культурної спадщини” без розроблення науково-проектної документації","boolean",,БРЕХНЯ,"True","False","true - встановлено згідно із Законом України „Про охорону культурної спадщини”; false - встановлено науково-проектною документацією","False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","bgd_doc","Нормативно-правовий акт, яким затверджена структура Бази геоданих","Нормативно-правовий акт, яким затверджена структура Бази геоданих","text",500,,"True","False",,"False"
"mkip","gdb_metadata","Метадані","Збереження основних метаданих про Базу геоданих та проектної документації","None","crs_epsg","Ідентифікатор (код) системи координат ","Ідентифікатор (код) системи координат згідно з базою даних міжнародного репозитарію параметрів референцних систем координат EPSG","text",4,,"True","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","signific","категорія","Категорія пам'ятки культурної спадщини згідно зі  статтею 14 Закону України „Про охорону культурної спадщини”","integer",,,"True","False","heritage_monum_significance","False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","name","найменування","Найменування комплексу (ансамблю) або найменування пам'ятки культурної спадщини","text",500,,"True","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","address"," місцезнаходження","Адреса/місце розташування пам'ятки культурної спадщини або об'єкта культурної спадщини","text",,,"True","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","area","площа, га","Площа об'єкта культурної спадщини в гектарах (га)","double",,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","oh_num","охоронний номер","Охоронний номер пам'ятки культурної спадщини","text",20,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","oh_date","дата рішення про охорону","Дата рішення про взяття під охорону","Date",,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","oh_name","номер рішення про охорону","Номер рішення про взяття під охорону","text",20,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","oh_org","орган, що прийняв рішення про охорону","Орган, що прийняв рішення про взяття під охорону","text",255,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","num_reg","номер рішення про занесення до Державного реєстру нерухомих пам’яток України","Номер рішення про занесення до Державного реєстру нерухомих пам’яток України","text",20,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","date_reg","дата занесення до Державного реєстру нерухомих пам’яток України","Дата рішення про занесення до Державного реєстру нерухомих пам’яток України ","Date",,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","org_reg","орган, що прийняв рішення про занесення до Державного реєстру нерухомих пам’яток України","Орган, що прийняв рішення про занесення до Державного реєстру нерухомих пам’яток України","text",255,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","date","датування","Дата утворення (датування періоду існування) об'єкта культурної спадщини","text",255,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","regime","режим використання","Режим використання пам'ятки культурної спадщини згідно з науково-проектною або обліковою документацією, або охоронним договором","text",,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","regime_doc","документи, що встановлюють режим використання об'єкта  культурної спадщини ","Відносне посилання на теку з документами, які встановлюють режим використання пам'ятки культурної спадщини в межах пакета  документів проектної документації","text",100,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","regime_date","дата встановлення режиму","Дата рішення про встановлення режиму використання пам'ятки культурної спадщини","Date",,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","regime_num","рішення щодо встановлення режиму","Номер рішення про встановлення режиму використання пам'ятки культурної спадщини","text",20,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","regime_org","орган, що затверджує встановлення режиму","Орган, що затвердив рішення про встановлення режиму використання пам'ятки культурної спадщини","text",255,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","ownership","форма власності","Форма власності, у якій перебуває пам'ятка або об'єкт культурної спадщин","integer",,,"False","False","ownership","False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","owner","власник","Найменування власника пам'ятки культурної спадщини","text",255,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","status","статус об'єкта культурної спадщини","Статус об'єкта культурної спадщини","integer",,,"True","False","heritage_monum_status","False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","agreem_num","номер охоронного договору","Номер охоронного договору","text",20,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","agreem_date","дата укладення охоронного договору","Дата укладення охоронного договору","Date",,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","uuid_unesco","uuid об'єкта всесвітньої спадщини","Унікальний ідентифікатор об'єкта всесвітньої спадщини ","text",38,,"False","False","uuid об'єкта всесвітньої спадщини з класу unesco_obj","False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","uuid_zone1","uuid охоронної зони","Унікальний ідентифікатор охоронної зони пам'ятки культурної спадщини","text",38,,"False","False","uuid охоронної зони з класу heritage_protect_zones","False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","uuid_zone2","uuid зони регулювання забудови","Унікальний ідентифікатор зони регулювання забудови пам'ятки культурної спадщини","text",38,,"False","False","uuid зони регулювання забудови з класу heritage_constr_regul_zones","False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","uuid_zone3","uuid зони охоронюваного ландшафту ","Унікальний ідентифікатор зони охоронюваного ландшафту  пам'ятки культурної спадщини","text",38,,"False","False","uuid зони охоронюваного ландшафту з класу heritage_protect_landscape_zones","False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","uuid_zone4","uuid зони охорони археологічного культурного шару","Унікальний ідентифікатор зони охорони археологічного культурного шару пам'ятки культурної спадщини","text",38,,"False","False","uuid зони охорони археологічного культурного шару з класу heritage_protect_archaeolog_zones","False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","uuid_zone5","uuid зони охорони (нормативної)","Унікальний ідентифікатор зони охорони пам'ятки культурної спадщини, встановленої відповідно до Закону України „Про охорону культурної спадщини” до затвердження науково-проектної (науково-дослідної) документації","text",38,,"False","False","uuid зони охорони (нормативної) з класу heritage_protect_zones_common","False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","uuid","uuid","Унікальний ідентифікатор об'єкта культурної спадщини в межах Бази геоданих, який генерується автоматично","text",38," ","True","True",,"True"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","class","класифікаційний код","Класифікаційний код згідно з Національним класифікатором об’єктів містобудування, благоустрою, будівель і споруд, який затверджується Мінінфраструктури ","text",10,,"False","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","katotth","КАТОТТГ","КАТОТТГ","text",20," ","True","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","koatuu","КОАТУУ","КОАТУУ","text",10," ","True","False",,"False"
"mkip","heritage_complex","Комплекс (ансамбль)","Топографічно визначені сукупності окремих або поєднаних між собою об'єктів культурної спадщини","None","note","примітка","Примітка у довільній формі","text",255," ","False","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","res_code","код обмеження","Код обмеження щодо використання земель та земельних ділянок згідно з Порядком ведення Державного земельного кадастру, затвердженим постановою Кабінету Міністрів України від 17 жовтня 2012 року № 1051 ","text",10,,"True","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","signific","категорія","Категорія зони регулювання забудови","integer",,,"True","False","heritage_monum_significance","False"
